Pianist,country
Rao Hao,Chiny
Martín García García,Hiszpania
Aimi Kobayashi,Japonia
Kyōhei Sorita,Japonia
J J Jun Li Bui,Kanada
Bruce Liu,Kanada
Lee Hyuk,Korea Południowa
Jakub Kuszlik,Polska
Kamil Pacholec,Polska
Jewa Gieworgian,Rosja/Armenia
Leonora Armellini,Włochy
Alexander Gadjiev,Włochy/Słowenia
